#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  24000      6.74e+00    6.64e+00      1.78e-01    2.44e-01      2.15e-01    2.12e-01    4.9e-04
  24100      4.54e+00    7.98e+00      2.20e-01    3.72e-01      1.45e-01    2.55e-01    4.9e-04
  24200      4.86e+00    5.53e+00      1.12e-01    7.00e-01      1.55e-01    1.74e-01    4.9e-04
  24300      7.35e+00    5.08e+00      1.03e-01    5.03e-01      2.34e-01    1.61e-01    4.9e-04
  24400      9.28e+00    4.25e+00      1.66e-01    1.00e-01      2.96e-01    1.36e-01    4.9e-04
  24500      9.32e+00    4.86e+00      1.50e-01    2.34e-01      2.98e-01    1.55e-01    4.9e-04
  24600      7.87e+00    6.57e+00      5.69e-02    2.91e-01      2.51e-01    2.09e-01    4.9e-04
  24700      8.65e+00    5.01e+00      2.70e-02    1.98e-01      2.76e-01    1.60e-01    4.9e-04
  24800      2.08e+00    3.86e+00      6.35e-02    1.11e-01      6.63e-02    1.23e-01    4.9e-04
  24900      8.53e+00    5.32e+00      6.23e-02    6.85e-02      2.72e-01    1.70e-01    4.9e-04
  25000      4.21e+00    5.96e+00      5.59e-01    5.00e-01      1.33e-01    1.89e-01    4.9e-04
  25100      1.04e+01    6.30e+00      9.60e-02    3.45e-01      3.31e-01    1.99e-01    4.9e-04
  25200      5.71e+00    1.09e+01      7.75e-02    2.38e-01      1.83e-01    3.49e-01    4.9e-04
  25300      1.20e+01    1.17e+01      4.25e-01    3.83e-01      3.83e-01    3.73e-01    4.9e-04
  25400      5.64e+00    4.35e+00      8.32e-02    6.71e-02      1.81e-01    1.39e-01    4.9e-04
